v8-version,8,8,278,14,0
shared-library,/Users/shuai/github/v8-cmake/demo/../cmake-build-debug/d8,0x1015afb00,0x103846960,22732800
shared-library,/usr/lib/libc++.1.dylib,0x7fff65494990,0x7fff654dc2c0,16211968
shared-library,/usr/lib/libSystem.B.dylib,0x7fff651ae6b5,0x7fff651aeace,16211968
shared-library,/usr/lib/libc++abi.dylib,0x7fff654e76f0,0x7fff654f8ff4,16211968
shared-library,/usr/lib/system/libcache.dylib,0x7fff67fab7c8,0x7fff67fae3ab,16211968
shared-library,/usr/lib/system/libcommonCrypto.dylib,0x7fff67fb0f40,0x7fff67fba8cc,16211968
shared-library,/usr/lib/system/libcompiler_rt.dylib,0x7fff67fbd1c8,0x7fff67fc1bc5,16211968
shared-library,/usr/lib/system/libcopyfile.dylib,0x7fff67fc4e40,0x7fff67fcc1cc,16211968
shared-library,/usr/lib/system/libcorecrypto.dylib,0x7fff67fcf100,0x7fff68042278,16211968
shared-library,/usr/lib/system/libdispatch.dylib,0x7fff6816de70,0x7fff6819f436,16211968
shared-library,/usr/lib/system/libdyld.dylib,0x7fff681aee00,0x7fff681dc750,16211968
shared-library,/usr/lib/system/libkeymgr.dylib,0x7fff681e5a4f,0x7fff681e5e90,16211968
shared-library,/usr/lib/system/liblaunch.dylib,0x7fff681f3fc0,0x7fff681f3fc0,16211968
shared-library,/usr/lib/system/libmacho.dylib,0x7fff681f53c4,0x7fff681f98ab,16211968
shared-library,/usr/lib/system/libquarantine.dylib,0x7fff681fafe9,0x7fff681fcbd0,16211968
shared-library,/usr/lib/system/libremovefile.dylib,0x7fff681fd860,0x7fff681febe6,16211968
shared-library,/usr/lib/system/libsystem_asl.dylib,0x7fff68200980,0x7fff6821508d,16211968
shared-library,/usr/lib/system/libsystem_blocks.dylib,0x7fff6821788b,0x7fff68217cf0,16211968
shared-library,/usr/lib/system/libsystem_c.dylib,0x7fff68219b4c,0x7fff68297fde,16211968
shared-library,/usr/lib/system/libsystem_configuration.dylib,0x7fff682a0ea4,0x7fff682a36b0,16211968
shared-library,/usr/lib/system/libsystem_coreservices.dylib,0x7fff682a4e80,0x7fff682a72a3,16211968
shared-library,/usr/lib/system/libsystem_darwin.dylib,0x7fff682a95c0,0x7fff682ae64a,16211968
shared-library,/usr/lib/system/libsystem_dnssd.dylib,0x7fff682b274c,0x7fff682b72cc,16211968
shared-library,/usr/lib/system/libsystem_featureflags.dylib,0x7fff682b9cde,0x7fff682bacbe,16211968
shared-library,/usr/lib/system/libsystem_info.dylib,0x7fff682bc1d0,0x7fff6830480a,16211968
shared-library,/usr/lib/system/libsystem_m.dylib,0x7fff68337080,0x7fff68363367,16211968
shared-library,/usr/lib/system/libsystem_malloc.dylib,0x7fff6837ece0,0x7fff6839f160,16211968
shared-library,/usr/lib/system/libsystem_networkextension.dylib,0x7fff683a72d9,0x7fff683b1474,16211968
shared-library,/usr/lib/system/libsystem_notify.dylib,0x7fff683b55de,0x7fff683bcd9e,16211968
shared-library,/usr/lib/system/libsystem_sandbox.dylib,0x7fff683d3554,0x7fff683d644e,16211968
shared-library,/usr/lib/system/libsystem_secinit.dylib,0x7fff683d8124,0x7fff683d93dc,16211968
shared-library,/usr/lib/system/libsystem_kernel.dylib,0x7fff68309b00,0x7fff6832ba14,16211968
shared-library,/usr/lib/system/libsystem_platform.dylib,0x7fff683be7a0,0x7fff683c47b6,16211968
shared-library,/usr/lib/system/libsystem_pthread.dylib,0x7fff683c7e3c,0x7fff683cfc75,16211968
shared-library,/usr/lib/system/libsystem_symptoms.dylib,0x7fff683dad85,0x7fff683e03fc,16211968
shared-library,/usr/lib/system/libsystem_trace.dylib,0x7fff683e3510,0x7fff683f5c2e,16211968
shared-library,/usr/lib/system/libunwind.dylib,0x7fff683faa0c,0x7fff683ff24f,16211968
shared-library,/usr/lib/system/libxpc.dylib,0x7fff68401e30,0x7fff68428413,16211968
shared-library,/usr/lib/libobjc.A.dylib,0x7fff6700e940,0x7fff67032987,16211968
profiler,begin,1000
tick,0x117c87e40,731,0,0x0,6
tick,0x1017fed8d,2020,0,0x0,6
tick,0x1015bda67,3049,0,0x0,6
tick,0x7fff683bed60,4329,0,0x0,6
tick,0x101ccdca4,5653,0,0x0,6
tick,0x10180e015,6903,0,0x0,6
tick,0x1029d712d,8148,0,0x0,6
tick,0x1016066dc,9402,0,0x0,6
code-creation,Builtin,2,11218,0x10343d7a0,792,DeoptimizationEntry_Lazy
code-creation,Builtin,2,11227,0x10343dac0,52,ContinueToCodeStubBuiltin
code-creation,Builtin,2,11237,0x10343db00,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,2,11247,0x10343db40,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,2,11256,0x10343db80,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,2,11267,0x10343dbe0,288,CallApiCallback
code-creation,Builtin,2,11275,0x10343dd20,272,CallApiGetter
code-creation,Builtin,2,11283,0x10343de40,12,HandleApiCall
code-creation,Builtin,2,11292,0x10343de60,12,HandleApiCallAsFunction
code-creation,Builtin,2,11301,0x10343de80,12,HandleApiCallAsConstructor
code-creation,Builtin,2,11310,0x10343dea0,64,AllocateInYoungGeneration
code-creation,Builtin,2,11320,0x10343df00,52,AllocateRegularInYoungGeneration
code-creation,Builtin,2,11329,0x10343df40,64,AllocateInOldGeneration
code-creation,Builtin,2,11339,0x10343dfa0,52,AllocateRegularInOldGeneration
code-creation,Builtin,2,11348,0x10343dfe0,448,CopyFastSmiOrObjectElements
code-creation,Builtin,2,11358,0x10343e1c0,516,GrowFastDoubleElements
code-creation,Builtin,2,11367,0x10343e3e0,408,GrowFastSmiOrObjectElements
code-creation,Builtin,2,11376,0x10343e580,468,DebugBreakTrampoline
code-creation,Builtin,2,11385,0x10343e760,144,FrameDropperTrampoline
code-creation,Builtin,2,11394,0x10343e800,48,HandleDebuggerStatement
code-creation,Builtin,2,11403,0x10343e840,180,ToNumber
code-creation,Builtin,2,11412,0x10343e900,104,PlainPrimitiveToNumber
code-creation,Builtin,2,11421,0x10343e980,216,ToNumberConvertBigInt
code-creation,Builtin,2,11430,0x10343ea60,132,Typeof
code-creation,Builtin,2,11438,0x10343eb00,104,BigIntToI64
code-creation,Builtin,2,11446,0x10343eb80,4,BigIntToI32Pair
code-creation,Builtin,2,11455,0x10343eba0,232,I64ToBigInt
code-creation,Builtin,2,11463,0x10343eca0,4,I32PairToBigInt
code-creation,Builtin,2,11472,0x10343ecc0,100,ToBooleanLazyDeoptContinuation
code-creation,Builtin,2,11482,0x10343ed40,3288,KeyedLoadIC_PolymorphicName
code-creation,Builtin,2,11491,0x10343fa20,16528,KeyedStoreIC_Megamorphic
code-creation,Builtin,2,11501,0x103443ac0,304,LoadGlobalIC_NoFeedback
code-creation,Builtin,2,11510,0x103443c00,60,LoadIC_FunctionPrototype
code-creation,Builtin,2,11520,0x103443c40,12,LoadIC_StringLength
code-creation,Builtin,2,11532,0x103443c60,16,LoadIC_StringWrapperLength
code-creation,Builtin,2,11542,0x103443c80,2976,LoadIC_NoFeedback
code-creation,Builtin,2,11551,0x103444840,32,StoreGlobalIC_Slow
code-creation,Builtin,2,11561,0x103444880,7544,StoreIC_NoFeedback
code-creation,Builtin,2,11570,0x103446600,180,KeyedLoadIC_SloppyArguments
code-creation,Builtin,2,11580,0x1034466c0,72,LoadIndexedInterceptorIC
code-creation,Builtin,2,11590,0x103446720,252,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,2,11601,0x103446820,252,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,2,11613,0x103446920,252,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,2,11625,0x103446a20,252,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,2,11646,0x103446b20,6608,StoreFastElementIC_Standard
code-creation,Builtin,2,11657,0x103448500,10016,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,2,11668,0x10344ac40,6604,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,2,11679,0x10344c620,6268,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,2,11690,0x10344dea0,9136,ElementsTransitionAndStore_Standard
code-creation,Builtin,2,11701,0x103450260,20568,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,2,11713,0x1034552c0,9136,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,2,11724,0x103457680,11888,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,2,11736,0x10345a500,792,KeyedHasIC_PolymorphicName
code-creation,Builtin,2,11747,0x10345a820,164,KeyedHasIC_SloppyArguments
code-creation,Builtin,2,11778,0x10345a8e0,72,HasIndexedInterceptorIC
code-creation,Builtin,2,11795,0x10345a940,148,EnqueueMicrotask
code-creation,Builtin,2,11807,0x10345a9e0,8,RunMicrotasksTrampoline
code-creation,Builtin,2,11819,0x10345aa00,2332,RunMicrotasks
code-creation,Builtin,2,11831,0x10345b320,2124,HasProperty
code-creation,Builtin,2,11842,0x10345bb80,1072,DeleteProperty
code-creation,Builtin,2,11853,0x10345bfc0,1916,CopyDataProperties
code-creation,Builtin,2,11865,0x10345c740,9456,SetDataProperties
code-creation,Builtin,2,11876,0x10345ec40,28,Abort
code-creation,Builtin,2,11888,0x10345ec60,28,AbortCSAAssert
code-creation,Builtin,2,11899,0x10345ec80,12,EmptyFunction
code-creation,Builtin,2,11910,0x10345eca0,12,Illegal
code-creation,Builtin,2,11921,0x10345ecc0,12,StrictPoisonPillThrower
code-creation,Builtin,2,11933,0x10345ece0,12,UnsupportedThrower
code-creation,Builtin,2,11945,0x10345ed00,44,ReturnReceiver
code-creation,Builtin,2,11956,0x10345ed40,28,ArrayConstructor
code-creation,Builtin,2,11968,0x10345ed60,388,ArrayConstructorImpl
code-creation,Builtin,2,11980,0x10345ef00,216,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,2,11994,0x10345efe0,216,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,2,12009,0x10345f0c0,176,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,2,12025,0x10345f180,176,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,2,12042,0x10345f240,176,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,2,12058,0x10345f300,176,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,2,12073,0x10345f3c0,188,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,2,12089,0x10345f480,188,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,2,12105,0x10345f540,512,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,2,12120,0x10345f760,476,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,2,12133,0x10345f940,436,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,2,12149,0x10345fb00,396,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,2,12167,0x10345fca0,436,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,2,12183,0x10345fe60,396,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
tick,0x7fff6830ce66,12207,0,0x0,6
code-creation,Builtin,2,12232,0x103460000,448,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,2,12254,0x1034601e0,412,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,2,12268,0x103460380,56,ArrayNArgumentsConstructor
code-creation,Builtin,2,12277,0x1034603c0,12,ArrayConcat
code-creation,Builtin,2,12286,0x1034603e0,12,ArrayPrototypeFill
code-creation,Builtin,2,12294,0x103460400,936,ArrayIncludesSmiOrObject
code-creation,Builtin,2,12303,0x1034607c0,140,ArrayIncludesPackedDoubles
code-creation,Builtin,2,12313,0x103460860,208,ArrayIncludesHoleyDoubles
code-creation,Builtin,2,12322,0x103460940,556,ArrayIncludes
code-creation,Builtin,2,12346,0x103460b80,860,ArrayIndexOfSmiOrObject
code-creation,Builtin,2,12357,0x103460ee0,116,ArrayIndexOfPackedDoubles
code-creation,Builtin,2,12366,0x103460f60,116,ArrayIndexOfHoleyDoubles
code-creation,Builtin,2,12375,0x103460fe0,564,ArrayIndexOf
code-creation,Builtin,2,12384,0x103461220,12,ArrayPop
code-creation,Builtin,2,12392,0x103461240,680,ArrayPrototypePop
code-creation,Builtin,2,12402,0x103461500,12,ArrayPush
code-creation,Builtin,2,12410,0x103461520,2604,ArrayPrototypePush
code-creation,Builtin,2,12419,0x103461f60,12,ArrayShift
code-creation,Builtin,2,12427,0x103461f80,12,ArrayUnshift
code-creation,Builtin,2,12436,0x103461fa0,988,CloneFastJSArray
code-creation,Builtin,2,12445,0x103462380,2284,CloneFastJSArrayFillingHoles
code-creation,Builtin,2,12454,0x103462c80,992,ExtractFastJSArray
code-creation,Builtin,2,12463,0x103463080,248,ArrayPrototypeEntries
code-creation,Builtin,2,12472,0x103463180,236,ArrayPrototypeKeys
code-creation,Builtin,2,12482,0x103463280,248,ArrayPrototypeValues
code-creation,Builtin,2,12491,0x103463380,4032,ArrayIteratorPrototypeNext
code-creation,Builtin,2,12501,0x103464360,3600,FlattenIntoArray
code-creation,Builtin,2,12509,0x103465180,3628,FlatMapIntoArray
code-creation,Builtin,2,12518,0x103465fc0,392,ArrayPrototypeFlat
code-creation,Builtin,2,12527,0x103466160,444,ArrayPrototypeFlatMap
code-creation,Builtin,2,12536,0x103466320,12,ArrayBufferConstructor
code-creation,Builtin,2,12546,0x103466340,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,2,12557,0x103466360,12,ArrayBufferPrototypeSlice
code-creation,Builtin,2,12567,0x103466380,576,AsyncFunctionEnter
code-creation,Builtin,2,12576,0x1034665e0,140,AsyncFunctionReject
code-creation,Builtin,2,12585,0x103466680,132,AsyncFunctionResolve
code-creation,Builtin,2,12594,0x103466720,12,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,2,12604,0x103466740,1324,AsyncFunctionAwaitCaught
code-creation,Builtin,2,12613,0x103466c80,1324,AsyncFunctionAwaitUncaught
code-creation,Builtin,2,12623,0x1034671c0,156,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,2,12633,0x103467260,148,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,2,12642,0x103467300,12,BigIntConstructor
code-creation,Builtin,2,12651,0x103467320,12,BigIntAsUintN
code-creation,Builtin,2,12659,0x103467340,12,BigIntAsIntN
code-creation,Builtin,2,12668,0x103467360,12,BigIntPrototypeToLocaleString
code-creation,Builtin,2,12677,0x103467380,12,BigIntPrototypeToString
code-creation,Builtin,2,12686,0x1034673a0,12,BigIntPrototypeValueOf
code-creation,Builtin,2,12695,0x1034673c0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,2,12705,0x1034673e0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,2,12714,0x103467400,12,CallSitePrototypeGetFileName
code-creation,Builtin,2,12724,0x103467420,12,CallSitePrototypeGetFunction
code-creation,Builtin,2,12733,0x103467440,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,2,12743,0x103467460,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,2,12752,0x103467480,12,CallSitePrototypeGetMethodName
code-creation,Builtin,2,12762,0x1034674a0,12,CallSitePrototypeGetPosition
code-creation,Builtin,2,12771,0x1034674c0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,2,12781,0x1034674e0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,2,12791,0x103467500,12,CallSitePrototypeGetThis
code-creation,Builtin,2,12800,0x103467520,12,CallSitePrototypeGetTypeName
code-creation,Builtin,2,12810,0x103467540,12,CallSitePrototypeIsAsync
code-creation,Builtin,2,12819,0x103467560,12,CallSitePrototypeIsConstructor
code-creation,Builtin,2,12829,0x103467580,12,CallSitePrototypeIsEval
code-creation,Builtin,2,12837,0x1034675a0,12,CallSitePrototypeIsNative
code-creation,Builtin,2,12847,0x1034675c0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,2,12856,0x1034675e0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,2,12866,0x103467600,12,CallSitePrototypeToString
code-creation,Builtin,2,12875,0x103467620,12,ConsoleDebug
code-creation,Builtin,2,12883,0x103467640,12,ConsoleError
code-creation,Builtin,2,12900,0x103467660,12,ConsoleInfo
code-creation,Builtin,2,12909,0x103467680,12,ConsoleLog
code-creation,Builtin,2,12917,0x1034676a0,12,ConsoleWarn
code-creation,Builtin,2,12925,0x1034676c0,12,ConsoleDir
code-creation,Builtin,2,12933,0x1034676e0,12,ConsoleDirXml
code-creation,Builtin,2,12941,0x103467700,12,ConsoleTable
code-creation,Builtin,2,12949,0x103467720,12,ConsoleTrace
tick,0x1020afd08,12988,0,0x0,6
code-creation,Builtin,2,13005,0x103467740,12,ConsoleGroup
code-creation,Builtin,2,13020,0x103467760,12,ConsoleGroupCollapsed
code-creation,Builtin,2,13030,0x103467780,12,ConsoleGroupEnd
code-creation,Builtin,2,13039,0x1034677a0,12,ConsoleClear
code-creation,Builtin,2,13051,0x1034677c0,12,ConsoleCount
code-creation,Builtin,2,13060,0x1034677e0,12,ConsoleCountReset
code-creation,Builtin,2,13069,0x103467800,12,ConsoleAssert
code-creation,Builtin,2,13077,0x103467820,12,ConsoleProfile
